Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-20T19:12:23.872Z","","","Included","auto","No","0","37317","38211","1362","76890","Included"
"2026-06-20T19:12:14.380Z","","","Included","auto","No","0","114007","460800","4264","579071","Included"
"2026-06-20T19:12:09.025Z","","","Included","auto","No","0","177524","347360","2735","527619","Included"
"2026-06-20T19:11:50.649Z","","","Included","composer-2.5-fast","No","0","122727","983616","5292","1111635","Included"
"2026-06-20T19:11:47.765Z","","","Included","composer-2.5-fast","No","0","165742","828704","4270","998716","Included"
"2026-06-20T19:10:35.821Z","","","Included","auto","No","0","90943","382287","1775","475005","Included"
"2026-06-20T19:01:07.742Z","","","Included","auto","No","0","171486","173984","3181","348651","Included"
"2026-06-20T18:58:10.287Z","","","Included","auto","No","0","10482","823488","3784","837754","Included"
"2026-06-20T18:55:38.022Z","","","Included","auto","No","0","6519","1830528","5105","1842152","Included"
"2026-06-20T18:54:24.059Z","","","Included","auto","No","0","146136","727520","1085","874741","Included"
"2026-06-20T18:51:42.619Z","","","Included","auto","No","0","142717","1698432","10970","1852119","Included"
"2026-06-20T18:40:17.700Z","","","Included","auto","No","0","93932","1037152","10892","1141976","Included"
"2026-06-20T18:39:48.358Z","","","Included","gpt-5.5-medium","No","0","181409","3737600","16293","3935302","Included"
"2026-06-20T18:38:41.578Z","","","Included","auto","No","0","3184","1370112","3220","1376516","Included"
"2026-06-20T18:34:54.121Z","","","Included","auto","No","0","4670","1147201","2021","1153892","Included"
"2026-06-20T18:25:58.730Z","","","Included","auto","No","0","4671","589280","5391","599342","Included"
"2026-06-20T18:23:29.227Z","","","Included","auto","No","0","73790","524128","11312","609230","Included"
"2026-06-20T18:22:57.573Z","","","Included","auto","No","0","128045","671776","10037","809858","Included"
"2026-06-20T18:21:36.708Z","","","Included","auto","No","0","103953","1214272","8209","1326434","Included"
"2026-06-20T18:16:46.752Z","","","Included","auto","No","0","237559","1112768","9264","1359591","Included"
"2026-06-20T18:16:16.242Z","","","Included","auto","No","0","10934","1073523","4753","1089210","Included"
"2026-06-20T18:15:29.550Z","","","Included","auto","No","0","17192","1374816","7764","1399772","Included"
"2026-06-20T18:14:17.038Z","","","Included","auto","No","0","3848","534795","1749","540392","Included"
"2026-06-20T18:10:43.567Z","","","Included","auto","No","0","7369","670700","4733","682802","Included"
"2026-06-20T18:09:42.207Z","","","Included","auto","No","0","168107","849024","4759","1021890","Included"
"2026-06-20T18:08:05.338Z","","","Included","auto","No","0","71484","983207","3998","1058689","Included"
"2026-06-20T18:04:45.441Z","","","Included","auto","No","0","78540","312672","3340","394552","Included"
"2026-06-20T17:59:58.781Z","","","Included","auto","No","0","60738","69085","1022","130845","Included"
"2026-06-20T17:56:05.622Z","","","Included","auto","No","0","56458","190346","1615","248419","Included"
"2026-06-20T17:50:26.956Z","","","Included","agent_review","No","8681","126","15118","607","24532","Included"
"2026-06-20T17:34:11.904Z","","","Included","auto","No","0","72373","517792","1921","592086","Included"
